GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPMML KNIME integration tests,org.jpmml.knime.visitors,RegressionTargetCorrector.new Object() {...},6,49,0,0,0,3,0,1,0,1
JPMML KNIME integration tests,org.jpmml.knime.visitors,RegressionTargetCorrector,29,162,7,14,5,54,7,13,0,9
