GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateInterner,4,111,3,9,2,27,3,12,0,9
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,UnsupportedFeatureInspector,392,23,53,1,84,6,52,2,22,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector,153,104,3,17,25,26,14,11,11,4
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,MiningFieldInterner,51,0,10,0,12,0,8,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ElementHashMap,0,23,0,2,0,7,0,3,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},27,0,2,0,4,0,5,0,4,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},20,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},20,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},20,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,GeneralRegressionModelOptimizer,44,0,6,0,10,0,6,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},19,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.new InvalidFeatureInspector.CollectionSize() {...},0,19,0,0,0,3,0,3,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,NodeSorter,0,21,0,2,0,6,0,4,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ExpressionOptimizer,38,0,8,0,11,0,7,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateInterner.new ElementHashMap() {...},0,8,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,NaiveBayesModelOptimizer,28,0,4,0,6,0,4,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateInterner.new ElementHashMap() {...},0,8,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateInterner.new ElementHashMap() {...},0,32,0,0,0,4,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateInterner.new ElementHashMap() {...},0,29,0,0,0,3,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ElementKey,2,41,1,1,1,13,1,6,0,6
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,NodeSorter.new Comparator() {...},0,16,0,0,0,5,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,FieldOptimizer,28,0,4,0,6,0,4,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,PredicateOptimizer,4,34,3,5,2,9,3,4,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,ScoreDistributionInterner.new ElementHashMap() {...},0,35,0,0,0,3,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator,167,273,21,22,37,70,21,12,3,8
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new Object() {...},5,47,0,0,0,4,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new CacheLoader() {...},8,3,0,0,2,1,1,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusteringModelEvaluator.new CacheLoader() {...},0,15,0,0,0,4,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.clustering,ClusterAffinityDistribution,8,23,0,0,2,7,2,5,2,5
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.new Function() {...},0,9,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,RichObjectFactory,11,0,0,0,3,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator,406,986,90,102,101,266,80,54,3,28
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.PredictorHandler,0,25,0,0,0,9,0,4,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,RichBaseCumHazardTables,59,0,4,0,16,0,6,0,4,0
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,8,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,8,0,0,0,2,0,2,0,2
