GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPMML R/Rattle integration tests,org.jpmml.rattle.visitors,PredicateTransformer.new Object() {...},3,27,0,0,0,2,0,1,0,1
JPMML R/Rattle integration tests,org.jpmml.rattle.visitors,ScoreDistributionCleaner.new Object() {...},1,11,0,0,0,1,0,1,0,1
JPMML R/Rattle integration tests,org.jpmml.rattle.visitors,PredicateTransformer,6,95,4,11,3,24,4,10,0,6
JPMML R/Rattle integration tests,org.jpmml.rattle.visitors,ScoreDistributionCleaner,0,36,1,3,0,11,1,4,0,3
JPMML R/Rattle integration tests,org.jpmml.rattle.visitors,TargetValueStatCleaner,0,26,0,4,0,8,0,4,0,2
